"Watercourse
Crossing ID","PXID","KP (Rev 5.0)","Waterbody Name/FWMIS Waterbody ID Number (FWMIS 2014)/ Stream Order at Crossing Site","Classification (Alberta)","Field UTM Coordinates (NAD 83)","Easting","Northing","longitude","latitude","Map","Fish Species Captured or Observed (Previously Documented – FWMIS)","Sensitivity Rating","Provincial RAP (AESRD)","Least Risk Biological Window Proposed","Rationale to Support LRBW Proposed if different from Provincial RAP","Planned Instream Construction Timing","Riparian Habitat Composition & Functionality","Vegetation Type","Stage","Apparent Condition","Project Proposed Primary","Project Proposed Contingency","Project Proposed Primary","Navigability Status","Site-Specific Comments","Reclamation Type","Can all of DFO's Measures to Avoid Harm be implemented for the Primary Pipeline Construction Method?"
"AB-0a","W1.1","0.54","Unnamed tributary to North Saskatchewan River/ no FWMIS ID","Class C (unmapped)","12","343311","5934600","-113.3644251","53.53690263","Map","None (BRST and FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","January to October 2019","L","N","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge or Type 3 culvert","Potentially Navigable","Drainage is likely culverted underneath tank farm. No visible water on the surface.","Standard procedures and Type A.","Yes"
"AB-0b","W1968. 0","3.85","Unnamed NCD/ no FWMIS ID","NCD","12","344991","5933186","-113.3383973","53.52470166","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-1","W2.4","4.7","Unnamed tributary to Goldbar Creek 25435/ 1","Class C (unmapped)","12","345108","5932363","-113.336227","53.51734466","Map","BRST and FTMN (FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","January to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge or Type 3 culvert","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Spring influence observed within LSA (upstream from the centre of the proposed pipeline corridor).","Standard procedures and Type D.","Yes"
"AB-2","W3.3","4.82","Goldbar Creek/ 23073/ 2","Class C","12","345119","5932246","-113.3360035","53.5162971","Map","BRST (BRST, FTMN, LKCH and SPSH)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","January to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type C.","Yes"
"AB-2a","W4.3","5.75","Unnamed NCD/ no FWMIS ID","NCD","12","345088","5931310","-113.336008","53.50788159","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-2b","W5.2","6.03","Unnamed NCD/ no FWMIS ID","NCD","12","345078","5931030","-113.3360203","53.50536391","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-2c","W6.3","6.12","Unnamed NCD/ no FWMIS ID","NCD","12","345075","5930938","-113.3360201","53.50453676","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-3","W7.3","6.42","Unnamed NCD/ no FWMIS ID","NCD","12","345066","5930641","-113.3360089","53.50186669","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-3b","W9.2","6.89","Unnamed NCD/ no FWMIS ID","NCD","12","344912","5930211","-113.3381161","53.49795941","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-4","W10.2","7.25","Unnamed Wetland/ no FWMIS ID","Wetland","12","344906","5929848","-113.338027","53.49469747","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
