Monthly Pipeline Occurrence Statistics,,,,,,January 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline Occurrence Statistics,,,,,,,,,
,,,January,,,,Year to Date (January),,
,,,2017,2016,2012-2016 Average,,2017,2016,2012-2016 Average
,,,,,,,,,
Accidents,,,0,0,0,,0,0,0
,"Total, line pipe",,0,0,0,,0,0,0
,,3rd party damage with release,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,0,0,0,,0,0,0
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
Incidents*,,,10,10,12,,10,10,12
,"Total, line pipe",,1,3,1,,1,3,1
,,3rd party damage / No release,0,0,0,,0,0,0
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,0,2,0,,0,2,0
,,Other,1,1,0,,1,1,0
,"Total, other facilities (a)",,9,7,11,,9,7,11
,,3rd party damage / No release,0,0,1,,0,0,1
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,6,2,8,,6,2,8
,,Other,3,5,2,,3,5,2
,,,,,,,,,
"Data extracted February 15, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
