Monthly Pipeline Occurrence Statistics,,,,,,March 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline Occurrence Statistics,,,,,,,,,
,,,March,,,,January to March,,
,,,2017,2016,2012-2016 Average,,2017,2016,2012-2016 Average
,,,,,,,,,
Accidents,,,1,0,0,,2,0,2
,"Total, line pipe",,0,0,0,,1,0,0
,,3rd party damage with release,0,0,0,,1,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,1,0,0,,1,0,1
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,1
,,Other damage with release,1,0,0,,1,0,0
Incidents*,,,6,4,13,,22,20,34
,"Total, line pipe",,1,0,1,,5,3,3
,,3rd party damage / No release,0,0,0,,0,0,0
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,0,0,1,,1,2,2
,,Other,1,0,0,,4,1,1
,"Total, other facilities (a)",,5,4,12,,17,17,31
,,3rd party damage / No release,0,0,0,,0,1,1
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,4,3,11,,11,10,26
,,Other,1,1,1,,6,6,4
,,,,,,,,,
"Data extracted April 18, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
