Monthly pipeline occurrence statistics,,,,,,April 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline occurrence statistics,,,,,,,,,
,,,April,,,,January to April,,
,,,2017,2016,2012-2016 average,,2017,2016,2012-2016 average
,,,,,,,,,
Accidents,,,0,0,0,,2,0,2
,"Total, line pipe",,0,0,0,,1,0,0
,,3rd party damage with release,0,0,0,,1,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,0,0,0,,1,0,1
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,1
,,Other damage with release,0,0,0,,1,0,0
Incidents*,,,3,5,11,,25,25,46
,"Total, line pipe",,0,4,2,,5,7,5
,,3rd party damage / No release,0,3,1,,0,3,1
,,Disturbance of supporting environment / No release,0,0,0,,0,0,1
,,Uncontained release,0,1,0,,1,3,2
,,Other,0,0,0,,4,1,1
,"Total, other facilities (a)",,3,1,10,,20,18,41
,,3rd party damage / No release,0,0,0,,0,1,1
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,2,0,7,,13,10,34
,,Other,1,1,2,,7,7,6
,,,,,,,,,
"Data extracted May 15, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
