Monthly pipeline occurrence statistics,,,,,,May 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline occurrence statistics,,,,,,,,,
,,,May,,,,January to May,,
,,,2017,2016,2012-2016 average,,2017,2016,2012-2016 average
,,,,,,,,,
Accidents,,,2,0,0,,4,0,2
,"Total, line pipe",,1,0,0,,2,0,0
,,3rd party damage with release,1,0,0,,2,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,1,0,0,,2,0,1
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,1,0,0,,1,0,1
,,Other damage with release,0,0,0,,1,0,0
Incidents*,,,14,9,13,,39,34,59
,"Total, line pipe",,6,2,2,,11,9,7
,,3rd party damage / No release,0,0,0,,0,3,1
,,Disturbance of supporting environment / No release,2,1,1,,2,1,1
,,Uncontained release,1,1,1,,2,4,4
,,Other,3,0,0,,7,1,1
,"Total, other facilities (a)",,8,7,11,,28,25,51
,,3rd party damage / No release,0,0,0,,0,1,1
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,7,2,8,,20,12,42
,,Other,1,5,2,,8,12,8
,,,,,,,,,
"Data extracted June 15, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
