Monthly pipeline occurrence statistics,,,,,,June 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline occurrence statistics,,,,,,,,,
,,,June,,,,January to June,,
,,,2017,2016,2012-2016 average,,2017,2016,2012-2016 average
,,,,,,,,,
Accidents,,,1,0,1,,5,0,3
,"Total, line pipe",,0,0,0,,2,0,1
,,3rd party damage with release,0,0,0,,2,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,1,0,1,,3,0,2
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,1,,1,0,2
,,Other damage with release,0,0,0,,1,0,0
Incidents*,,,10,11,12,,51,45,71
,"Total, line pipe",,8,9,3,,20,18,10
,,3rd party damage / No release,0,2,1,,0,5,2
,,Disturbance of supporting environment / No release,6,6,1,,9,7,3
,,Uncontained release,2,0,1,,4,4,4
,,Other,0,1,0,,7,2,1
,"Total, other facilities (a)",,2,2,9,,31,27,60
,,3rd party damage / No release,0,0,0,,0,1,2
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,1,0,8,,22,12,49
,,Other,1,2,1,,9,14,9
,,,,,,,,,
"Data extracted July 17, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
