Monthly pipeline occurrence statistics,,,,,,July 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline occurrence statistics,,,,,,,,,
,,,July,,,,January to July,,
,,,2017,2016,2012-2016 average,,2017,2016,2012-2016 average
,,,,,,,,,
Accidents,,,1,0,0,,6,0,3
,"Total, line pipe",,0,0,0,,2,0,1
,,3rd party damage with release,0,0,0,,2,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,1,0,0,,4,0,2
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,1,0,2
,,Other damage with release,1,0,0,,2,0,0
Incidents*,,,13,7,9,,65,52,80
,"Total, line pipe",,7,2,2,,27,20,13
,,3rd party damage / No release,0,0,0,,0,5,2
,,Disturbance of supporting environment / No release,3,0,1,,12,7,4
,,Uncontained release,0,1,0,,4,5,5
,,Other,4,1,1,,11,3,2
,"Total, other facilities (a)",,6,5,7,,38,32,67
,,3rd party damage / No release,0,0,1,,0,1,2
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,6,3,6,,29,15,55
,,Other,0,2,1,,9,16,10
,,,,,,,,,
"Data extracted August 15, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
