Monthly pipeline occurrence statistics,,,,,,August 2017,,,
 ,,,,,,,,,
Table 1,,,,,,,,,
Pipeline occurrence statistics,,,,,,,,,
,,,August,,,,January to August,,
,,,2017,2016,2012-2016 average,,2017,2016,2012-2016 average
,,,,,,,,,
Accidents,,,0,0,0,,5,0,3
,"Total, line pipe",,0,0,0,,2,0,1
,,3rd party damage with release,0,0,0,,2,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,0,0,0
,,Other damage with release,0,0,0,,0,0,0
,"Total, other facilities (a)",,0,0,0,,3,0,2
,,3rd party damage,0,0,0,,0,0,0
,,Disturbance of supporting environment with release,0,0,0,,0,0,0
,,Corrosion/Environmental cracking,0,0,0,,0,0,0
,,Fire/Ignition/Explosion,0,0,0,,1,0,2
,,Other damage with release,0,0,0,,2,0,0
Incidents*,,,10,15,10,,77,68,92
,"Total, line pipe",,7,8,3,,35,29,17
,,3rd party damage / No release,0,1,1,,0,6,3
,,Disturbance of supporting environment / No release,3,0,0,,15,7,4
,,Uncontained release,2,2,1,,6,7,6
,,Other,2,5,1,,14,9,5
,"Total, other facilities (a)",,3,7,7,,42,39,74
,,3rd party damage / No release,0,0,0,,0,1,2
,,Disturbance of supporting environment / No release,0,0,0,,0,0,0
,,Uncontained release,2,7,6,,32,22,61
,,Other,1,0,1,,10,16,11
,,,,,,,,,
"Data extracted September 18, 2017.",,,,,,,,,
"All five-year averages have been rounded. Totals sometimes do not coincide to the sum of averages.
(a) Includes Compressor Stations, Pump Stations, Meter Stations, Gas Processing Plants and other related facilities.
New TSB regulations came into effect on July 1, 2014, changing some reporting requirements.
* Under new reporting requirements the minimum reporting threshold for incidents with release has been changed to be the same as NEB regulations which is 1.5 cubic metres of low vapour pressure liquid hydrocarbons.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Transportation Safety Board of Canada,,,,,,Page 1,,,
