Monthly Pipeline Occurrence Statistics,,,,,,September 2017
"Table 1
Reportable Pipeline Occurrences",,,,,,
,,September,,,Year to date (September),
,2017,2016,2012-2016 average ,2017,2016,2012-2016 average
Total number of occurrences1,10,10,9,93,80,105
Total number of serious injuries,0,0,0,1,0,0
Total number of fatalities,0,0,0,0,0,0
Accidents1,0,0,1,5,0,4
Product released,0,0,0,4,0,2
Release of hydrocarbon gas,0,0,0,0,0,2
Release of HVP hydrocarbons2,0,0,0,1,0,0
Release of LVP hydrocarbons3,0,0,0,2,0,0
Release of other product,0,0,0,1,0,0
Release from line pipe body,0,0,0,0,0,0
Fire/Ignition,0,0,1,1,0,3
Explosion,0,0,0,0,0,0
Rupture,0,0,0,0,0,1
Pipeline contacted by object,0,0,0,1,0,0
Operation beyond limits,0,0,0,0,0,0
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Incidents1,10,10,9,88,80,101
Product released,5,4,6,44,30,71
Release of hydrocarbon gas,2,3,4,23,24,32
Release of HVP hydrocarbons2,2,1,1,7,4,5
Release of LVP hydrocarbons3,1,0,0,5,1,26
Release of other product,0,0,0,9,1,8
Release from line pipe body,0,1,1,0,3,3
Fire/Ignition,1,0,0,4,2,3
Explosion,0,0,0,1,0,0
Pipeline contacted by object,0,1,0,0,3,4
Operation beyond limits,2,2,1,7,19,12
Geotechnical/Hydrotechnical/Environmental activity,2,0,0,4,0,0
Unauthorized 3rd-party activity impacts pipeline structural integrity,0,0,1,0,7,5
,,,,,,
,,,,,,
,,,,,,
"Data extracted October 17, 2017",,,,,,
"1 With the coming into force of new TSB Regulations in July 2014, the definitions of accident and incident were adjusted and some of the occurrence reporting criteria were modified. For example, the minimum reporting threshold for releases of low vapour pressure hydrocarbons was set to 1.5 m3.
2 HVP means high vapour pressure as defined in Canadian Standards Association Standard Z662.
3 LVP means low vapour pressure as defined in Canadian Standards Association Standard Z662.",,,,,,
Transportation Safety Board of Canada,,,,,,Page 1
