Monthly Pipeline Occurrence Statistics,,,,,,November 2017
"Table 1
Reportable Pipeline Occurrences",,,,,,
,,November,,,Year to date (November),
,2017,2016,2012-2016 average ,2017,2016,2012-2016 average
Total number of occurrences1,14,10,11,119,101,126
Total number of serious injuries,0,0,0,1,0,0
Total number of fatalities,0,0,0,0,0,0
Accidents1,0,0,0,5,0,4
Product released,0,0,0,4,0,2
Release of hydrocarbon gas,0,0,0,0,0,2
Release of HVP hydrocarbons2,0,0,0,1,0,0
Release of LVP hydrocarbons3,0,0,0,2,0,0
Release of other product,0,0,0,1,0,0
Release from line pipe body,0,0,0,0,0,1
Fire/Ignition,0,0,0,1,0,3
Explosion,0,0,0,0,0,1
Rupture,0,0,0,0,0,1
Pipeline contacted by object,0,0,0,1,0,0
Operation beyond limits,0,0,0,0,0,0
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Incidents1,14,10,10,114,101,122
Product released,12,1,7,64,36,85
Release of hydrocarbon gas,11,1,4,39,30,39
Release of HVP hydrocarbons2,1,0,0,8,4,5
Release of LVP hydrocarbons3,0,0,1,5,1,30
Release of other product,0,0,2,12,1,11
Release from line pipe body,1,0,0,1,3,4
Fire/Ignition,0,2,0,7,5,4
Explosion,0,0,0,1,0,0
Pipeline contacted by object,0,0,1,2,7,5
Operation beyond limits,1,6,2,19,31,16
Geotechnical/Hydrotechnical/Environmental activity,1,0,0,16,2,1
Unauthorized 3rd-party activity affects pipeline structural integrity,0,1,1,0,10,6
,,,,,,
,,,,,,
,,,,,,
"Data extracted December 20, 2017",,,,,,
"1 With the coming into force of new TSB Regulations in July 2014, the definitions of accident and incident were adjusted and some of the occurrence reporting criteria were modified. For example, the minimum reporting threshold for releases of low vapour pressure hydrocarbons was set to 1.5 m3.
2 HVP means high vapour pressure as defined in Canadian Standards Association Standard Z662.
3 LVP means low vapour pressure as defined in Canadian Standards Association Standard Z662.",,,,,,
Transportation Safety Board of Canada,,,,,,Page 1
