Monthly Pipeline Occurrence Statistics,,,,,,December 2017
"Table 1
Reportable Pipeline Occurrences",,,,,,
,,December,,,Year to date (December),
,2017,2016,2012-2016 average ,2017,2016,2012-2016 average
Total number of occurrences1,6,9,8,125,104,130
Total number of serious injuries,0,0,0,1,0,0
Total number of fatalities,0,0,0,0,0,0
Accidents1,0,0,0,5,0,5
Product released,0,0,0,4,0,2
Release of hydrocarbon gas,0,0,0,0,0,2
Release of HVP hydrocarbons2,0,0,0,1,0,0
Release of LVP hydrocarbons3,0,0,0,2,0,0
Release of other product,0,0,0,1,0,0
Release from line pipe body,0,0,0,0,0,1
Fire/Ignition,0,0,0,1,0,4
Explosion,0,0,0,0,0,1
Rupture,0,0,0,0,0,1
Pipeline contacted by object,0,0,0,1,0,0
Operation beyond limits,0,0,0,0,0,0
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Incidents1,6,9,8,120,104,125
Product released,6,5,4,68,41,89
Release of hydrocarbon gas,5,5,3,45,35,42
Release of HVP hydrocarbons2,1,0,0,10,4,5
Release of LVP hydrocarbons3,0,0,1,3,1,31
Release of other product,0,0,0,10,1,11
Release from line pipe body,0,0,0,1,3,4
Fire/Ignition,0,0,0,7,5,4
Explosion,0,0,0,1,0,0
Pipeline contacted by object,0,0,0,3,7,5
Operation beyond limits,0,3,2,20,34,18
Geotechnical/Hydrotechnical/Environmental activity,0,1,0,16,3,1
Unauthorized 3rd-party activity affects pipeline structural integrity,0,0,0,0,4,2
,,,,,,
,,,,,,
,,,,,,
"Data extracted January 15, 2018",,,,,,
"1 With the coming into force of new TSB Regulations in July 2014, the definitions of accident and incident were adjusted and some of the occurrence reporting criteria were modified. For example, the minimum reporting threshold for releases of low vapour pressure hydrocarbons was set to 1.5 m3.
2 HVP means high vapour pressure as defined in Canadian Standards Association Standard Z662.
3 LVP means low vapour pressure as defined in Canadian Standards Association Standard Z662.",,,,,,
Transportation Safety Board of Canada,,,,,,Page 1
