Monthly Pipeline Occurrence Statistics,,,,,,January 2018
"Table 1
Reportable Pipeline Occurrences",,,,,,
,,January,,,Year to date (January),
,2018,2017,2013-2017 average ,2018,2017,2013-2017 average
Total number of occurrences,9,11,11,9,11,11
Total number of occurrences with product release,6,7,7,6,7,7
Total number of serious injuries,0,0,0,0,0,0
Total number of fatalities,0,0,0,0,0,0
Accidents,0,0,0,0,0,0
Product released,0,0,0,0,0,0
Release of hydrocarbon gas,0,0,0,0,0,0
Release of HVP hydrocarbons1,0,0,0,0,0,0
"Release of LVP hydrocarbons2, 3",0,0,0,0,0,0
Release of other product,0,0,0,0,0,0
Release from line pipe body,0,0,0,0,0,0
Fire/Ignition,0,0,0,0,0,0
Explosion,0,0,0,0,0,0
Rupture,0,0,0,0,0,0
Pipeline contacted by object,0,0,0,0,0,0
Operation beyond limits,0,0,0,0,0,0
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Incidents,9,11,11,9,11,11
Product released,6,7,7,6,7,7
Release of hydrocarbon gas,6,5,4,6,5,4
Release of HVP hydrocarbons1,0,0,0,0,0,0
"Release of LVP hydrocarbons2, 3",0,1,1,0,1,1
Release of other product,0,1,2,0,1,2
Release from line pipe body,0,0,0,0,0,0
Fire/Ignition,1,0,0,1,0,0
Explosion,0,0,0,0,0,0
Pipeline contacted by object,0,0,1,0,0,1
Operation beyond limits,2,1,1,2,1,1
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Unauthorized 3rd-party activity affects pipeline structural integrity,0,0,1,0,0,1
,,,,,,
,,,,,,
"Data extracted February 15, 2018",,,,,,
NOTES:,,,,,,
"1 HVP means high vapour pressure as defined in Canadian Standards Association Standard Z662.
2 LVP means low vapour pressure as defined in Canadian Standards Association Standard Z662.
3 As of July 2014, the minimum reporting threshold for releases of low vapour pressure hydrocarbons was established at 1.5m3.",,,,,,
Transportation Safety Board of Canada,,,,,,Page 1
