Monthly Pipeline Occurrence Statistics,,,,,,March 2018
"Table 1
Reportable Pipeline Occurrences",,,,,,
,,March,,,Year to date (March),
,2018,2017,2013-2017 average ,2018,2017,2013-2017 average
Total number of occurrences,2,7,10,17,24,29
Total number of occurrences with product release,1,5,8,11,14,21
Total number of serious injuries,0,0,0,0,0,0
Total number of fatalities,0,0,0,0,0,0
Accidents,0,1,0,0,2,1
Product released,0,1,0,0,2,1
Release of hydrocarbon gas,0,0,0,0,0,0
Release of HVP hydrocarbons1,0,0,0,0,0,0
"Release of LVP hydrocarbons2, 3",0,1,0,0,2,1
Release of other product,0,0,0,0,0,0
Release from line pipe body,0,0,0,0,1,1
Fire/Ignition,0,0,0,0,0,1
Explosion,0,0,0,0,0,0
Rupture,0,0,0,0,0,0
Pipeline contacted by object,0,0,0,0,1,0
Operation beyond limits,0,0,0,0,0,0
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Incidents,2,6,9,17,22,28
Product released,1,4,8,11,12,20
Release of hydrocarbon gas,1,2,2,11,8,9
Release of HVP hydrocarbons1,0,1,1,0,1,1
"Release of LVP hydrocarbons2, 3",0,0,3,0,1,5
Release of other product,0,1,2,0,2,4
Release from line pipe body,0,0,0,1,0,1
Fire/Ignition,0,1,0,2,2,1
Explosion,0,0,0,1,0,0
Pipeline contacted by object,0,0,0,0,1,1
Operation beyond limits,1,1,1,3,4,4
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Unauthorized 3rd-party activity affects pipeline structural integrity,0,0,0,0,0,1
,,,,,,
,,,,,,
"Data extracted April 17, 2018",,,,,,
NOTES:,,,,,,
"1 HVP means high vapour pressure as defined in Canadian Standards Association Standard Z662.
2 LVP means low vapour pressure as defined in Canadian Standards Association Standard Z662.
3 As of July 2014, the minimum reporting threshold for releases of low vapour pressure hydrocarbons was established at 1.5m3.",,,,,,
Transportation Safety Board of Canada,,,,,,Page 1
