Monthly Pipeline Occurrence Statistics,,,,,,April 2018
"Table 1
Reportable Pipeline Occurrences",,,,,,
,,April,,,Year to date (April),
,2018,2017,2013-2017 average ,2018,2017,2013-2017 average
Total number of occurrences,11,4,9,28,28,38
Total number of occurrences with product release,9,3,7,20,17,27
Total number of serious injuries,0,0,0,0,0,0
Total number of fatalities,0,0,0,0,0,0
Accidents,0,0,0,0,2,1
Product released,0,0,0,0,2,1
Release of hydrocarbon gas,0,0,0,0,0,0
Release of HVP hydrocarbons1,0,0,0,0,0,0
"Release of LVP hydrocarbons2, 3",0,0,0,0,2,1
Release of other product,0,0,0,0,0,0
Release from line pipe body,0,0,0,0,1,1
Fire/Ignition,0,0,0,0,0,1
Explosion,0,0,0,0,0,0
Rupture,0,0,0,0,0,0
Pipeline contacted by object,0,0,0,0,1,0
Operation beyond limits,0,0,0,0,0,0
Geotechnical/Hydrotechnical/Environmental activity,0,0,0,0,0,0
Incidents,11,4,9,28,26,37
Product released,9,3,7,20,15,26
Release of hydrocarbon gas,8,2,2,19,10,11
Release of HVP hydrocarbons1,0,0,1,0,1,2
"Release of LVP hydrocarbons2, 3",1,1,3,1,2,8
Release of other product,0,0,1,0,2,5
Release from line pipe body,2,0,0,3,0,1
Fire/Ignition,0,0,0,2,2,1
Explosion,0,1,0,1,1,0
Pipeline contacted by object,0,0,0,0,1,1
Operation beyond limits,0,0,2,3,4,6
Geotechnical/Hydrotechnical/Environmental activity,2,0,0,2,0,0
Unauthorized 3rd-party activity affects pipeline structural integrity,0,0,0,0,0,1
,,,,,,
,,,,,,
"Data extracted May 15, 2018",,,,,,
NOTES:,,,,,,
"1 HVP means high vapour pressure as defined in Canadian Standards Association Standard Z662.
2 LVP means low vapour pressure as defined in Canadian Standards Association Standard Z662.
3 As of July 2014, the minimum reporting threshold for releases of low vapour pressure hydrocarbons was established at 1.5m3.",,,,,,
Transportation Safety Board of Canada,,,,,,Page 1
