X,Y,OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,INSTALLATION_NUMBER,INSTALLATION_TYPE,INSTALLATION_TYPE_DESC,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE
-119.826338838292813,50.526354922684078,17018033,000001003,5,1,REGU,Regulator,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-119.826338838292813,50.526354922684078,17018034,000001003,5,2,RISE,Riser,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-119.826338838292813,50.526354922684078,17018035,000001003,5,3,VALV,Valve,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-119.511163918097068,49.773628232702002,17018036,000001003,10,1,RISE,Riser,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-119.511163918097068,49.773628232702002,17018037,000001003,10,2,VALV,Valve,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-119.508088963157576,49.11958341780759,17018038,000001003,35,1,VALV,Valve,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-119.508088963157576,49.11958341780759,17018039,000001003,35,2,RISE,Riser,100000300,1957-09-15T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-123.023654807349047,49.094212754272583,17018040,000001034,4,1,RISE,Riser,100000608,1959-08-01T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-123.023654807349047,49.094212754272583,17018041,000001034,4,2,RISE,Riser,100000608,1959-08-01T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-120.816359489580151,50.759498524809537,17018042,000001035,1,1,REGU,Regulator,100000609,1959-08-01T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-120.816359489580151,50.759498524809537,17018043,000001035,1,2,RISE,Riser,100000609,1959-08-01T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-120.816359489580151,50.759498524809537,17018044,000001035,1,3,VALV,Valve,100000609,1959-08-01T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-120.816359489580151,50.759498524809537,17018045,000001035,1,4,LNHT,Line Heater,100000609,1959-08-01T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-122.989820637786664,49.168685901189249,17018046,000001043,8,1,RISE,Riser,100000611,1979-12-24T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-122.989820637786664,49.168685901189249,17018047,000001043,8,2,VALV,Valve,100000611,1979-12-24T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-122.989820637786664,49.168685901189249,17018048,000001043,8,3,REGU,Regulator,100000611,1979-12-24T00:00:00.000Z,,,FortisBC Energy Inc.,OGAA,
-123.022215954863029,49.270227420010734,17018049,000001045,3,1,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-123.022215954863029,49.270227420010734,17018050,000001045,3,2,REGU,Regulator,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-123.022160968679572,49.270227430545575,17018051,000001045,3,3,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-123.022160968679572,49.270227430545575,17018052,000001045,3,4,REGU,Regulator,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.955747082926948,49.260164444105065,17018053,000001045,3,5,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.955747082926948,49.260164444105065,17018054,000001045,3,6,REGU,Regulator,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.936603718675713,49.260956261536876,17018055,000001045,3,7,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.936603718675713,49.260956261536876,17018056,000001045,3,8,REGU,Regulator,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.846129559860117,49.263427128998195,17018057,000001045,3,9,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.87866409874502,49.263635327590052,17018058,000001045,3,10,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.878677865778386,49.263626346908978,17018059,000001045,3,11,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.878691588759068,49.263635356182952,17018060,000001045,3,12,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.878677821725759,49.263644336865667,17018061,000001045,3,13,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
-122.936353778538688,49.260937971056286,17018062,000001045,3,14,VALV,Valve,100000458,2018-01-12T14:30:02.000Z,,,FortisBC Energy Inc.,OGAA,
