OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292315,000013827,1,GA,Gathering,29200,Active,100044965,2004-12-02T00:00:00.000Z,,9618318,Canadian Natural Resources Limited,OGAA,SNK,29798.9156393736
292316,000013915,3,GA,Gathering,1148,Active,100045351,2004-12-13T00:00:00.000Z,,9618545,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,758.216361761818
292317,000013915,6,GA,Gathering,542,New,100045351,2017-10-20T10:05:42.000Z,,,"Polar Star Canadian Oil and Gas, Inc.",OGAA,CGWC,542.093269789795
292318,000013965,1,GA,Gathering,1919,Active,100045552,2004-12-16T00:00:00.000Z,,9618637,Cenovus Energy Inc.,OGAA,CGWC,1922.04078709886
292319,000014021,1,GA,Gathering,1232,Active,100045805,2004-12-22T00:00:00.000Z,,9618764,Cenovus Energy Inc.,OGAA,SNK,1093.67704634196
292320,000014142,1,FL,Flow,650,Deactivated,100046248,2005-01-11T00:00:00.000Z,,9619021,TAQA North Ltd.,OGAA,SNK,643.539097528501
292321,000014142,2,GA,Gathering,1677,Deactivated,100046248,2017-04-01T14:27:54.000Z,,,TAQA North Ltd.,OGAA,SNK,1677.7122712786
292322,000014823,1,IN,Injection,4729,Active,100047978,2005-03-31T00:00:00.000Z,,9619845,Bonavista Energy Corporation,OGAA,GPSD,4728.41725151838
292323,000014823,2,IN,Injection,1943,Abandoned,100047978,2017-04-11T16:03:46.000Z,,,Bonavista Energy Corporation,OGAA,GPSD,1942.2722294796
292324,000015107,1,FL,Flow,5373.22,Active,100048679,2005-07-07T00:00:00.000Z,,9620279,Canadian Natural Resources Limited,OGAA,GPSD,5471.8664226404
292325,000015107,2,FL,Flow,6066.78,Active,100048679,2017-08-15T12:48:11.000Z,,,Canadian Natural Resources Limited,OGAA,GPSD,6058.26785066834
292326,000015223,1,GA,Gathering,1213,Active,100048718,2005-07-12T00:00:00.000Z,,9620472,Cenovus Energy Inc.,OGAA,CGWC,1214.90058070954
292327,000015224,1,GA,Gathering,757,Active,100048719,2005-07-12T00:00:00.000Z,,9620470,Cenovus Energy Inc.,OGAA,CGWC,758.586936944921
292328,000015525,2,GA,Gathering,231,Active,100049218,2005-08-24T00:00:00.000Z,,9620846,Encana Corporation,OGAA,SNK,229.718468242717
292329,000015525,4,GA,Gathering,835,Active,100049218,2017-12-01T07:44:53.000Z,,,Encana Corporation,OGAA,SNK,833.532505320163
292330,000015525,5,GA,Gathering,4410,Active,100049218,2017-12-01T07:44:53.000Z,,,Encana Corporation,OGAA,SNK,4409.47239125686
292331,000015759,1,GA,Gathering,550.81,Active,100049823,2005-09-29T00:00:00.000Z,,9621321,Enerplus Corporation,OGAA,SNK,550.806239070854
292332,000015827,1,GA,Gathering,2131,Active,100049966,2005-10-05T00:00:00.000Z,,9621417,Chinook Energy (2010) Inc.,OGAA,GPSD,1260.32210472803
292333,000015850,1,GA,Gathering,1749,Active,100056654,2006-09-23T00:00:00.000Z,,9621442,Cenovus Energy Inc.,OGAA,CGWC,1750.42170662762
292334,000016052,3,GA,Gathering,1653.03,Active,100050298,2005-10-25T00:00:00.000Z,,9621665,Canadian Natural Resources Limited,OGAA,GPSD,1653.13093588673
292335,000016214,1,GA,Gathering,2500,Active,100050800,2005-11-16T00:00:00.000Z,,9622215,Venturion Oil Limited,OGAA,CGWC,2403.85847445784
292336,000016635,1,GA,Gathering,4678,Active,100051886,2005-12-19T00:00:00.000Z,,9622755,Canadian Natural Resources Limited,OGAA,CGWC,4859.99898941555
292337,000016635,2,FL,Flow,5022.45,New,100051886,2018-03-26T14:18:26.000Z,,,Canadian Natural Resources Limited,OGAA,ORTHO,5024.29679315527
292338,000016685,1,GA,Gathering,2416,Active,100051986,2005-12-20T00:00:00.000Z,,9622821,Cenovus Energy Inc.,OGAA,CGWC,2417.58667869093
292339,000017356,1,GA,Gathering,1050,Active,100053718,2006-02-27T00:00:00.000Z,,9623592,ARC Resources Ltd.,OGAA,CGWC,1000.76735674747
292340,000018170,1,GA,Gathering,4000,Active,100055777,2006-07-20T00:00:00.000Z,,9624335,Canadian Natural Resources Limited,OGAA,SNK,4410.17814845999
292341,000018176,1,GA,Gathering,3291,Active,100055135,2006-05-31T00:00:00.000Z,,9624313,ARC Resources Ltd.,OGAA,GPSD,3468.65830735187
292342,000018264,1,GA,Gathering,1243,Active,100055895,2006-07-28T00:00:00.000Z,,9624504,Cenovus Energy Inc.,OGAA,CGWC,1240.87928526221
292343,000018313,1,GA,Gathering,872.89,Deactivated,100055605,2006-07-10T00:00:00.000Z,,9624609,Shell Canada Limited,OGAA,GPSD,872.892677916337
292344,000018313,2,GA,Gathering,3632.9,New,100055605,2017-02-11T09:31:48.000Z,,,Shell Canada Limited,OGAA,GPSD,3632.89731789573
292345,000018582,1,GA,Gathering,93,Active,100056397,2006-09-07T00:00:00.000Z,,9625042,Cenovus Energy Inc.,OGAA,CGWC,93.242377006137
292346,000018622,3,GA,Gathering,3233,Active,100056966,2006-10-15T00:00:00.000Z,,9625135,Cenovus Energy Inc.,OGAA,CGWC,3233.54040725818
292347,000018676,1,GA,Gathering,411.97,Active,100056684,2006-09-26T00:00:00.000Z,,9625186,Enerplus Corporation,OGAA,SNK,411.973639204161
292348,000018679,1,GA,Gathering,519.96,Active,100056640,2006-09-22T00:00:00.000Z,,9625178,Enerplus Corporation,OGAA,SNK,519.95860332017
292349,000018746,1,GA,Gathering,394,Active,100056974,2006-10-16T00:00:00.000Z,,9625298,Enerplus Corporation,OGAA,SNK,394.261582786163
292350,000018767,1,GA,Gathering,2379,Active,100057364,2006-11-08T00:00:00.000Z,,9625333,Cenovus Energy Inc.,OGAA,CGWC,2380.16508018665
292351,000018790,1,GA,Gathering,701,Active,100056685,2006-09-26T00:00:00.000Z,,9625362,Enerplus Corporation,OGAA,SNK,701.004804926655
292352,000018792,1,GA,Gathering,750,Active,100056746,2006-09-28T00:00:00.000Z,,9625370,Enerplus Corporation,OGAA,SNK,661.067409864758
292353,000018801,1,GA,Gathering,481.05,Active,100056686,2006-09-26T00:00:00.000Z,,9625382,Enerplus Corporation,OGAA,SNK,481.046770928707
292354,000018870,1,GA,Gathering,5756,Active,100057274,2006-11-03T00:00:00.000Z,,9625493,Cenovus Energy Inc.,OGAA,CGWC,5756.99847061273
292355,000018886,1,GA,Gathering,2430.2,Active,100057447,2006-11-10T00:00:00.000Z,,9625523,Enerplus Corporation,OGAA,SNK,2430.20497037325
