FID,Opername,Pipename,Shape_Leng,Shape__Length
1,ENBRIDGE,LSr Project,6.33628347985,6.336283479851
2,ENBRIDGE,Buffalo,1.18498422906,1.18498422905971
3,ENBRIDGE,Chicap,3.04476950312,3.04476950312194
4,ENBRIDGE,Lakehead,6.12705926343,6.12705926342763
5,ENBRIDGE,Lakehead,7.32672604926,7.32672604925622
6,ENBRIDGE,Lakehead,7.35446465229,7.35446465229286
7,ENBRIDGE,Lakehead,11.5884945713,11.5884945712902
8,ENBRIDGE,Lakehead,5.24934388015,5.24934388015022
9,ENBRIDGE,Mainline,16.6562515004,16.656251500422
10,ENBRIDGE,Mainline,9.3574355896,9.35743558959999
11,ENBRIDGE,Midcontinent (Ozark),7.29019726809,7.29019726808655
12,ENBRIDGE,Mustang,3.0059569368,3.00595693679756
13,ENBRIDGE,Nanticoke,0.456564255666,0.456564255666309
14,ENBRIDGE,North Dakota System,1.06723824817,1.06723824816546
15,ENBRIDGE,North Dakota System,1.41469777281,1.41469777281447
16,ENBRIDGE,North Dakota System,2.59924819966,2.59924819966181
17,ENBRIDGE,North Dakota System,9.13174028672,9.13174028672164
18,ENBRIDGE,Southern Access,8.33654187556,8.33654187556108
19,ENBRIDGE,Spearhead,9.65982166663,9.65982166662642
20,ENBRIDGE,Tinsley,0.614771689983,0.614771689982955
21,ENBRIDGE,Toledo,1.17740062832,1.17740062831787
22,ENBRIDGE,Tulsa,0.778691315189,0.77869131518906
23,ENTERPRISE,Seaway,7.40330784472,7.40330784472042
24,EXXONMOBIL,North Louisiana System,4.72344342235,4.72344342235053
25,EXXONMOBIL,Southern Louisiana,0.565932822085,0.565932822084902
26,LOOP,LOOP,1.53092982501,1.53092982501144
27,MAGELLAN,Longhorn,7.91268464841,7.91268464840677
28,MAGELLAN,Osage,2.79288619351,2.79288619350604
29,NUSTAR ENERGY,Central West Crude Oil Pipeline System,0.470309953324,0.470309953323594
30,NUSTAR ENERGY,Central West Crude Oil Pipeline System,0.947618431989,0.947618431989418
31,NUSTAR ENERGY,Central West Crude Oil Pipeline System,7.13551796793,7.13551796792523
32,PLAINS PIPELINE,Basin,8.79856694196,8.79856694196471
33,PLAINS PIPELINE,Frontier,6.24112741597,6.24112741597091
34,SHELL,AFLAK to Houma,0.64773444528,0.647734445279525
35,SHELL,Alliance Refinery,0.0468395999558,0.046839599955793
36,SHELL,Capline,9.13707318893,9.13707318893019
37,SHELL,Clovelly\NORCO,0.469643869892,0.469643869891484
38,SHELL,Clovelly\NORCO,0.693031906539,0.693031906538873
39,SHELL,Delta,2.03866315444,2.03866315443551
40,SHELL,Houma\Convent,0.479650694043,0.479650694042937
41,SHELL,Houston\Houma,4.88086770042,4.88086770041901
42,SHELL,Mars,0.426468004219,0.426468004219327
43,SHELL,Nederland Terminal,0.154344215807,0.154344215806828
44,SHELL,Ship Shoal,1.37628518213,1.37628518213009
45,SPECTRA ENERGY,Express System,12.1559401124,12.1559401123841
46,SPECTRA ENERGY,Platte Pipeline,16.6174578778,16.6174578778155
47,TRANSCANADA,Keystone,4.12284487244,4.1228448724356
48,TRANSCANADA,Keystone,8.04123529726,8.04123529726348
49,TRANSCANADA,Keystone,15.0855503861,15.0855503861377
50,TRANSCANADA,Keystone,9.11696540587,9.11696540586793
51,SUNOCO,Amdel,8.32210237502,8.32210237502474
52,SUNOCO,Amdel,0.368344470974,0.368344470973642
53,SUNOCO,Kilgore,2.75707107632,2.75707107631708
54,SUNOCO,Texas,2.96497732822,2.96497732822493
55,SUNOCO,Millenium,2.7977154036,2.79771540360325
56,SUNOCO,Texas,4.33132909128,4.33132909128408
57,SUNOCO,Mesa,1.29738825924,1.29738825923876
