FID,Typepipe,Operator,Shape_Leng,Shape__Length
1,Interstate,Kinder Morgan Louisiana Pipeline,2.09347214283,2.09347214282923
2,Interstate,Midcontinent Express Pipeline,8.18743524935,8.18743524935134
3,Intrastate,Acadian Gas Gathering System,1.50475665931,1.5047566593064
4,Intrastate,Acadian Gas Pipeline Sys,6.61661608223,6.6166160822344
5,Intrastate,Acadian Haynesville Pipeline,3.54116325854,3.54116325853702
6,Interstate,Algonquin Gas Trans Co,11.8003649016,11.8003649016014
7,interstate,Alliance Pipeline,1.40247549099,1.40247549098905
8,Interstate,Alliance Pipeline System,16.0070839613,16.0070839612583
9,Interstate,Amoco Pipeline Co,5.75424764048,5.75424764048284
10,Interstate,ANR Pipeline Co,118.16316015,118.163160150364
11,Interstate,ANR Storage Co,0.368030885117,0.368030885116877
12,Intrastate,Arkansas Western LLC,8.94501123773,8.94501123773327
13,Intrastate,Atmos Energy (United Cities Gas Co),0.141821594283,0.141821594283124
14,Intrastate,Atmos Pipeline - Texas,84.5736377796,84.5736377796145
15,Gathering,Bighorn Gathering Header,2.33497343805,2.33497343804701
16,Interstate,Bison Pipeline,5.29449434065,5.29449434065218
17,Interstate,Black Marlin Pipeline Co,1.475618747,1.47561874700019
18,Interstate,Blue Dolphin Pipeline Co,1.48238771288,1.4823877128793
19,Interstate,Bluewater Pipeline Co,0.605011234073,0.60501123407298
20,Intrastate,Bridgeline Holdings Pipeline LP,10.3843943871,10.384394387127
21,Intrastate,Brooklyn Union Gas Co,3.76045967473,3.76045967472742
22,Intrastate,California Gas Transmission Co,57.1568671185,57.1568671185455
23,Interstate,Canyon Creek Compression Co,0.00333445107927,0.003334451079268
24,Gathering,Canyon Express Gathering System,0.946780715714,0.946780715714053
25,Intrastate,Cardinal Pipeline Co,1.28930127818,1.28930127817707
26,Intrastate,Centana Pipeline Co (LA),0.865638750446,0.865638750445704
27,Intrastate,Centana Pipeline Co (TX),5.67989658035,5.67989658035036
28,Interstate,CenterPoint Energy GasTrans Co,105.210298512,105.210499160379
29,Interstate,Centra Minnesota Pipeline Co,1.25336703015,1.25336703015437
30,Interstate,Centra Pipeline Co,0.0977261298108,0.097726129810799
31,Interstate,Chandeleur Pipeline Co,1.70850047994,1.7085004799419
32,Interstate,Chandeleur Pipeline Co (MAGS),0.417766358372,0.417766358371703
33,Interstate,Cheyenne Plains Pipeline Co,6.41263828879,6.41263828878579
34,Gathering,Cleoprata Offshore System,1.85518278672,1.85518278671661
35,Interstate,Colorado Interstate Gas Co,47.0793786091,47.0793786091074
36,Interstate,Columbia Gas Trans Co,138.612076508,138.612076508236
37,Interstate,Columbia Gulf Pipeline,32.8076807852,32.5521926503061
38,Intrastate,Constitution Pipeline,0.491071235302,0.491071235302406
39,Intrastate,Coos County Pipeline,1.47303797853,1.47303797853455
40,Intrastate,Coral Energy Pipeline Co,7.48702879679,7.48702879678767
41,Intrastate,Cornerstone Pipeline Co,0.240888769509,0.240888769509237
42,Interstate,Cove Point Pipeline,1.42380332398,1.42380332398066
43,Intrastate,Creole Pipeline Co,0.482651337074,0.482651337073635
44,Interstate,Crossroads Pipeline Co,3.89172646243,3.89172646243171
45,Intrastate,Crosstex Alabama System,1.92407620585,1.92407620584944
46,Intrastate,Crosstex Arkoma System,1.68905101625,1.68905101625257
47,Intrastate,Crosstex Mississippi Pipeline,14.365151157,14.3651511569685
48,Intrastate,Crosstex Texas Systems,19.1148546884,19.1148546884466
49,Interstate,Dauphin Island Gathering System,5.00526823498,5.00526823497871
50,Interstate,Destin Pipeline Offshore (SHELL),4.38116929228,4.38116929227918
51,Interstate,Discovery Pipeline System,3.36813085454,3.36813085454284
52,Interstate,Dominion Transmission Co,43.2064714341,43.2064714341218
53,Intrastate,Dow Pipeline Co (LA),2.98821994029,2.98821994029196
54,Intrastate,Dow Pipeline Co (TX),5.25059585049,5.25059585048509
55,Gathering,East Break Gathering System,1.4904111088,1.49041110880311
56,Intrastate,East Ohio Gas Co,20.847383167,20.8473831670051
57,Interstate,East Tennessee Gas Co,16.8005238967,16.8005238967267
58,Interstate,Eastern Shore Nat Gas Co,4.33142578341,4.33142578340548
59,Interstate,El Paso Natural Gas Co,121.113505994,121.113505993999
60,Intrastate,El Paso Texas Pipeline Co,107.740407066,107.715084493948
61,Interstate,Elba Express Pipeline,2.87051008691,2.87051008691142
62,Interstate,Empire Pipeline,0.333386699265,0.333386699264628
63,Intrastate,Empire Pipeline Co,4.21711062579,4.21711062579283
64,Interstate,Enbridge Pipelines (AlaTenn),3.76631980133,3.76631980132525
65,Intrastate,Enbridge Pipelines (East Texas),39.7440707108,39.7440562774657
66,Interstate,Enbridge Pipelines (Midla),3.27457169169,3.2745716916883
67,Interstate,Enbridge Pipelines (UTOS),0.468703501516,0.468703501516316
68,Intrastate,Energy Transfer Co,8.62465173984,8.62465173983783
69,Intrastate,Energy Transfer LP,48.2881198968,48.2881198968367
70,Intrastate,Energy Transfer Partners LP,1.65920180997,1.65920180997156
71,Interstate,EnergyNorth Nat Gas Co,0.568766178996,0.568766178995674
72,Intrastate,Enogex Inc,37.5820705514,37.582070551406
73,Gathering,Enterprise Products Partners,1.71666487724,1.716664877244
74,Interstate,Equitrans Inc,9.0911066799,9.07974405395768
75,Interstate,ETC Tiger Pipeline,2.89191284758,2.89191284757877
76,Intrastate,Evangeline Gas Pipeline,0.473498066952,0.473498066952338
77,Interstate,Fayetteville Express Pipeline,2.9680260211,2.96802602109905
78,Interstate,Florida Gas Trans Co,59.5334700504,59.5334700503501
79,Gathering,Fort Union Gathering Header,1.54930358276,1.54930358275903
80,Interstate,Garden Banks Auger 1 Line,0.523297325559,0.523297325558684
81,Gathering,Garden Banks Auger 2 Line,0.604708671244,0.604708671243957
82,Gathering,Garden Banks Gathering Sys,0.72974878506,0.729748785060155
83,Interstate,Gas Transmission - Northwest,9.80435218043,9.80435218042722
84,Interstate,Granite State Gas Trans Co,0.723834815228,0.72383481522818
85,Interstate,Grasslands Pipeline,5.0122789481,5.01227894809545
86,Interstate,Great Lakes Gas Trans Co,18.789968338,18.7899683380011
87,Gathering,Green Canyon System (Transco),0.867518127811,0.867518127810673
88,Interstate,Guardian Pipeline Co,2.48754803536,2.48754803536202
89,Interstate,Gulf South Pipeline Co,97.3014590022,97.3014590021757
90,Interstate,Gulfstream Pipeline Co,11.9530135854,11.9530135854039
91,Intrastate,Heartland Pipeline Co,0.482328784482,0.48232878448187
92,Interstate,High Island Offshore,4.95319839533,4.95319839533349
93,Intrastate,Hope Natural Gas Co,3.12038137784,3.1203813778443
94,Interstate,Horizon Pipeline Co,0.386652633671,0.386652633670523
95,Intrastate,Houston Pipeline Co,69.1350806016,69.1350806015572
96,Intrastate,Hutchinson Pipeline,1.38093142676,1.38093142675856
97,Intrastate,Independence Trail Pipeline Co,2.08183217406,2.08183217405624
98,Interstate,Iroquois Gas Trans Co,6.63880601166,6.63880601166146
99,Gathering,Jonah Gas Pipeline System,0.786378566444,0.786378566444421
100,Interstate,Kelso-Beaver Pipeline,0.367263799977,0.367263799976637
101,Intrastate,Kenai Kachemak Pipeline,0.590791689674,0.59079168967396
102,Intrastate,Kentucky-West Virginia Gas Co,8.4488136342,8.44881363420439
103,Interstate,Kern River Gas Trans Co,15.1241747605,15.1241734554444
104,Intrastate,KeyStone Gas (Sold to in 2005),0.781561047004,0.781561047004227
105,Intrastate,Kinder Morgan Texas Pipeline Co,68.2601051881,68.2601051881349
106,Interstate,KM Interstate Gas Co,100.690578165,100.690578164509
